Ple:03/01/2022 07:30:35 AM;
Software:Name=Qtegra;Version=2.8.3170.309;File Version=1;
Configuration:Machine=iCAP RQ;
STD:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-62;Angular Deflection=-280;Deflection Entry Lens=-35;Extraction Lens 1 Polarity=0;Extraction Lens 1 Negative=0;Extraction Lens 1 Positive=0;Spray Chamber Temperature=2.7;Peristaltic Pump Speed=40;Cool Flow=14;Sampling Depth=3.24046920821115;Plasma Power=1550;Auxilliary Flow=0.8;Nebulizer Flow=0.599826007326007;Torch Horizontal Position=-0.421798631476051;Torch Vertical Position=-0.429364613880743;Extraction Lens 2=-118;CCT Focus Lens=-3.33066907387547E-15;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=16.6871794871795;D1 Lens=-188;D2 Lens=-80;Quad Entry Lens=-21;Pole Bias=-1;CCT1 Flow=0;CCT1 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130;Virtual CCT Mass to Dac Offset=-120;Virtual CCT Mass parameter b=0.65;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-0.981427174975561;Torch Horizontal Position Readback=-0.427565982404692;Torch Vertical Position Readback=-0.448680351906159;Sampling Depth Readback=3.25;Extraction Lens 1 Negative Readback=-197.458455522972;Extraction Lens 1 Positive Readback=-0.0635386119257086;Extraction Lens 2 Readback=-123.16715542522;Angular Deflection Readback=-280.351906158358;Quad Entry Lens Readback=-21.0166177908113;Focus Lens Readback=16.4565004887586;D2 Lens Readback=-78.9833822091887;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.7996089931574;D1 Lens Readback=-188.074291300098;CCT Exit Lens Readback=-161.290322580645;CCT Bias Readback=-1.81329423264907;CCT Entry Lens Readback=-60.8504398826979;CCT Focus Lens Readback=0.102639296187689;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.90304889094486;Analyzer Pressure Readback=4.61554377093447E-07;
Detector:Detector Voltage (Counting) Readback=1497.55620723363;Detector Voltage (Analog) Readback=-2056.69599217986;
Cooling System:Plasma Cooling Water Flow Readback=0.818823529411765;Interface Temperature Readback=26.4220279647803;Exhaust Flow Readback=0.490284457478006;Quad Board Temperature Readback=0;Inlet Fan Speed Readback=0;Outlet Fan Speed Readback=2400;Peltier Temperature Hot Side Readback=15;Spray Chamber Temperature Readback=2.5530011228611;
Power Supply:Supply Voltage 500 V Readback=-541.911045943304;Supply Voltage 1 kV Readback=-1171.79863147605;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0025274193548388;Nebulizer Flow Readback=0.593841642228739;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.797653958944281;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,29Si,49Ti,89Y,91Zr,93Nb,139La,140Ce,141Pr,146Nd,147Sm,153Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,181Ta,202Hg,204Pb,206Pb,207Pb,208Pb,232Th,238U,
42.71982,855934.86786583,3600.51847466035,639027.111732829,48928383.9958966,4100.67251029169,0,3100.38444767151,300.003600043201,500.010000200004,1800.12960933187,1300.06760351538,4500.81014582625,10404.3282005314,31840.5011174214,31138.7365883159,43575.8219301585,24223.4482979524,34647.952766629,23421.922919853,6188054.32256343,4500.81014582625,600.014400345608,0,66074.1715161165,3300.43565750679,2100.17641481884,127042.326000257,1321552.50833867,
43.0386,889029.264958681,2100.17641481884,629564.625459794,47574520.0927016,3800.57768780855,100.0004000016,2200.1936170383,100.0004000016,1100.04840212969,900.032401166442,1700.11560786133,4200.70571856072,12606.3536022155,31740.2466327303,33344.4147604609,44378.6389482162,24123.2548176442,36954.5449082846,22219.7311212357,5860343.91077818,3500.49006860961,300.003600043201,0,61450.6770601515,4300.73972723308,2300.21161946899,115632.371438101,1278501.66290359,
43.35736,901045.573407707,2700.2916314962,646707.373120609,48924044.6885146,4700.88376614804,0,1700.11560786133,200.0016000128,700.019600548815,600.014400345608,900.032401166442,4700.88376614804,11305.1099096792,31740.2466327303,34948.7885087582,41870.0066511207,24123.2548176442,35349.9140786791,22520.2682414173,5832499.23526702,4200.70571856072,300.003600043201,0,66677.361782341,4200.70571856072,1100.04840212969,114824.979807681,1313795.16499802,
43.67615,875631.365405316,2500.2500250025,635030.987625458,46843780.7295668,5101.04061228491,100.0004000016,3400.46246289495,200.0016000128,700.019600548815,1000.04000160006,1000.04000160006,5701.29989637637,11205.0198488923,29133.9118734207,34547.6757925938,41167.6796653699,24824.6260290208,34246.8496903764,22520.2682414173,5804654.55975585,5401.16665199683,300.003600043201,0,67481.6606304171,3300.43565750679,2000.16001280102,119266.276279776,1321663.36066575,
43.99482,868348.730174498,3000.36004320518,607407.71090261,47037313.8388056,3900.60849492521,0,2600.27042812453,400.006400102402,400.006400102402,1500.09000540032,1100.04840212969,5601.25468104855,10404.3282005314,32843.0901342561,34046.302972042,40365.0684904065,25325.6295370915,37656.6355799122,24023.0621396541,5950303.63166041,3700.5476810568,200.0016000128,100.0004000016,67984.3736212609,3200.40965243551,1300.06760351538,114724.059503813,1249034.03554749,
44.31353,842678.045714664,2900.33643902693,611500.178256041,45782386.143921,4600.84655576626,0,3300.43565750679,300.003600043201,500.010000200004,900.032401166442,1200.05760276493,4700.88376614804,10404.3282005314,30938.239664225,36252.4936107484,41870.0066511207,26528.1198069954,36152.2037822616,21919.201220269,5698630.6030018,5601.25468104855,300.003600043201,0,62154.1422728366,4600.84655576626,2600.27042812453,124113.118806906,1312687.34633391,
44.63219,885812.503882872,2900.33643902693,595871.897780326,46775219.6729307,2600.27042812453,0,3300.43565750679,600.014400345608,500.010000200004,700.019600548815,1000.04000160006,3600.51847466035,10704.5815609081,29033.6790677186,37556.3345017526,40967.0220480706,25526.0365572884,36352.7842427204,23522.1107841371,5739326.66721042,3500.49006860961,700.019600548815,300.003600043201,65873.1145450243,3600.51847466035,1900.14441097523,116742.619696349,1316011.08219859,
44.95096,851550.058941534,3100.38444767151,608247.084757152,44850302.9182598,3700.5476810568,100.0004000016,2400.23042212052,100.0004000016,600.014400345608,1700.11560786133,1200.05760276493,3700.5476810568,10504.4118529783,30036.0432519023,35049.0686961746,40164.423735672,22620.4488857928,37456.0342272039,20917.487019148,5467305.6064475,3300.43565750679,100.0004000016,0,66576.8280553149,4500.81014582625,1800.12960933187,114522.221329261,1292430.72470353,
45.26966,810981.023766751,3400.46246289495,592622.772929966,45995012.2056407,3800.57768780855,100.0004000016,3300.43565750679,200.0016000128,900.032401166442,900.032401166442,900.032401166442,4600.84655576626,11505.2924345199,30637.5003003677,34246.8496903764,44077.5765347011,24323.6425805883,34848.5091247016,21017.6548300572,5884975.73911498,4400.77453631839,300.003600043201,200.0016000128,66174.7012111976,4100.67251029169,2300.21161946899,111595.932323245,1271542.66498529,
45.58831,834025.685221697,2900.33643902693,582252.056813065,45415280.7394008,3800.57768780855,0,4500.81014582625,200.0016000128,1000.04000160006,1500.09000540032,900.032401166442,2900.33643902693,12005.7627661277,29534.8511243267,31740.2466327303,40766.3676465285,22420.0883992057,38057.8479288519,20416.6599945556,5640799.35386322,3900.60849492521,100.0004000016,0,65269.9629836093,2900.33643902693,2000.16001280102,106451.353739857,1283695.69788469,
