SRM 612:03/01/2022 06:36:35 AM;
Software:Name=Qtegra;Version=2.8.3170.309;File Version=1;
Configuration:Machine=iCAP RQ;
STD:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-62;Angular Deflection=-280;Deflection Entry Lens=-35;Extraction Lens 1 Polarity=0;Extraction Lens 1 Negative=0;Extraction Lens 1 Positive=0;Spray Chamber Temperature=2.7;Peristaltic Pump Speed=40;Cool Flow=14;Sampling Depth=3.24046920821115;Plasma Power=1550;Auxilliary Flow=0.8;Nebulizer Flow=0.599826007326007;Torch Horizontal Position=-0.421798631476051;Torch Vertical Position=-0.429364613880743;Extraction Lens 2=-118;CCT Focus Lens=-3.33066907387547E-15;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=16.6871794871795;D1 Lens=-188;D2 Lens=-80;Quad Entry Lens=-21;Pole Bias=-1;CCT1 Flow=0;CCT1 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130;Virtual CCT Mass to Dac Offset=-120;Virtual CCT Mass parameter b=0.65;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-0.981427174975561;Torch Horizontal Position Readback=-0.438123167155426;Torch Vertical Position Readback=-0.448680351906159;Sampling Depth Readback=3.25;Extraction Lens 1 Negative Readback=-198.435972629521;Extraction Lens 1 Positive Readback=-0.0391006842619746;Extraction Lens 2 Readback=-124.144672531769;Angular Deflection Readback=-280.351906158358;Quad Entry Lens Readback=-21.0166177908113;Focus Lens Readback=16.3196480938416;D2 Lens Readback=-78.9833822091887;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.7214076246334;D1 Lens Readback=-188.074291300098;CCT Exit Lens Readback=-161.534701857283;CCT Bias Readback=-1.88172043010752;CCT Entry Lens Readback=-60.8504398826979;CCT Focus Lens Readback=0.0342130987292322;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.77526211910069;Analyzer Pressure Readback=4.61554377093447E-07;
Detector:Detector Voltage (Counting) Readback=1497.55620723363;Detector Voltage (Analog) Readback=-2056.69599217986;
Cooling System:Plasma Cooling Water Flow Readback=0.818823529411765;Interface Temperature Readback=26.4220279647803;Exhaust Flow Readback=0.46007917888563;Quad Board Temperature Readback=0;Inlet Fan Speed Readback=0;Outlet Fan Speed Readback=2400;Peltier Temperature Hot Side Readback=15;Spray Chamber Temperature Readback=2.7058192015936;
Power Supply:Supply Voltage 500 V Readback=-541.911045943304;Supply Voltage 1 kV Readback=-1170.57673509286;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0025274193548388;Nebulizer Flow Readback=0.593841642228739;Cool Flow Readback=13.880742913001;Auxilliary Flow Readback=0.796187683284457;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,29Si,49Ti,89Y,91Zr,93Nb,139La,140Ce,141Pr,146Nd,147Sm,153Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,181Ta,202Hg,204Pb,206Pb,207Pb,208Pb,232Th,238U,
52.60016,936515.709228835,600.014400345608,20216.3347985172,1900.14441097523,14708.648685427,23221.549598027,27129.408278574,32341.7855869784,5701.29989637637,4300.73972723308,18814.1482394761,4800.92177698118,32542.3049964954,6301.58800017604,32341.7855869784,11905.6670975384,34948.7885087582,9703.76506084361,35951.6265357053,10304.2453490838,31238.986254846,200.0016000128,300.003600043201,7702.37233067785,8202.69048247825,16711.163056922,27730.7256440136,29234.1454819229,
52.91893,932749.12036115,600.014400345608,17211.841747122,1900.14441097523,15309.3693340324,23321.7358578195,24123.2548176442,28732.9854673165,4900.9605882753,3900.60849492521,15809.9919148902,5901.39272868397,33444.6820952793,6901.90492575951,34547.6757925938,10604.4963064339,33745.4889190629,8202.69048247825,32742.827618525,9903.92195309342,27029.191526849,400.006400102402,200.0016000128,8202.69048247825,4700.88376614804,17512.2585810067,27029.191526849,29434.6151073663,
53.23762,900294.227342423,700.019600548815,17211.841747122,2600.27042812453,13507.2939387269,23421.922919853,23221.549598027,29033.6790677186,4400.77453631839,5701.29989637637,15709.8657957197,5001.00020004001,29133.9118734207,7402.19104855037,32843.0901342561,9903.92195309342,38158.1530252104,6101.48876325823,29234.1454819229,8102.62525058119,28833.2158646761,600.014400345608,400.006400102402,6701.7960813498,5301.12383825371,14308.184281409,25826.6531060054,30437.0114058695,
53.55628,867171.042012425,600.014400345608,17712.5404786589,1500.09000540032,14107.9568876847,24824.6260290208,25425.8326459683,27830.9480141918,4900.9605882753,3700.5476810568,16410.7654621432,3800.57768780855,34447.3996218797,8903.16952835209,30837.992406645,11004.8421305374,29935.8032206519,6801.85010322808,29935.8032206519,9203.38684635946,23822.6791905894,100.0004000016,700.019600548815,8102.62525058119,6301.58800017604,15609.7404780583,26227.4864057532,25726.4467872973,
53.87496,857646.416337068,500.010000200004,15910.1188355794,2100.17641481884,11705.4781637807,19515.221873061,23321.7358578195,28632.7558727184,4300.73972723308,4000.64010241639,14107.9568876847,4200.70571856072,33244.1482288479,5701.29989637637,30938.239664225,9803.84310649775,33544.9502333126,6901.90492575951,28332.0719053969,7302.132222609,29133.9118734207,400.006400102402,400.006400102402,7502.25067520256,7302.132222609,13807.6218072376,27329.8441898553,28031.3951625821,
54.19365,882918.102305857,300.003600043201,13307.0793662228,1900.14441097523,14107.9568876847,20016.0128102482,22319.9093591484,27029.191526849,4600.84655576626,3900.60849492521,14908.8856958747,3600.51847466035,30336.7681630136,8803.09869073914,32943.3534531443,10604.4963064339,32542.3049964954,5801.34591225164,31339.2367243789,8602.95941803981,23722.4889194957,500.010000200004,500.010000200004,6001.44034568296,7001.96054895371,15409.4922472243,23722.4889194957,25425.8326459683,
54.5124,826019.40463794,500.010000200004,18012.9693379233,2400.23042212052,14007.84439286,20116.1734034163,20817.3200102485,27229.6258329062,4400.77453631839,3100.38444767151,17311.9798900839,3500.49006860961,28131.6199408135,7302.132222609,27029.191526849,9703.76506084361,32943.3534531443,5901.39272868397,32442.0448901777,7202.07419736884,25425.8326459683,400.006400102402,300.003600043201,5901.39272868397,6501.69043951427,16410.7654621432,24323.6425805883,20416.6599945556,
54.83109,808636.189076133,500.010000200004,16510.8971921468,1800.12960933187,13407.186251831,17512.2585810067,19815.6940296715,23622.2994506814,3500.49006860961,5201.0818250196,17912.8255831175,3800.57768780855,31639.9929510902,8803.09869073914,27931.1711870447,12306.0545788528,29033.6790677186,7202.07419736884,28231.8455217485,8302.75651516303,26928.9755777216,100.0004000016,300.003600043201,6301.58800017604,5901.39272868397,13206.9732818928,22820.8125810739,25726.4467872973,
55.14976,789254.33981572,600.014400345608,17712.5404786589,1900.14441097523,10604.4963064339,19014.4509827469,19415.0660912868,27430.063349431,3800.57768780855,3400.46246289495,13707.5117164206,3900.60849492521,29835.5639922788,6601.74286011507,31138.7365883159,8903.16952835209,31238.986254846,5901.39272868397,31439.4879969241,9903.92195309342,25626.2412710616,400.006400102402,600.014400345608,5901.39272868397,6001.44034568296,15009.0054032419,24223.4482979524,22520.2682414173,
55.46853,817911.434236616,900.032401166442,15609.7404780583,2000.16001280102,10504.4118529783,20316.4969955604,22019.3770518056,26528.1198069954,3800.57768780855,3400.46246289495,14608.5313823273,4100.67251029169,28231.8455217485,7702.37233067785,28732.9854673165,11004.8421305374,27931.1711870447,6301.58800017604,29033.6790677186,7001.96054895371,23622.2994506814,200.0016000128,700.019600548815,6701.7960813498,4500.81014582625,12506.2531265633,22720.6303323418,26628.3325458288,
